Brand_Name,Therapeutic_Area,TA Notes,Disease,Disease - level 2,Indication,Approval_Year,Enrollment,Sex_comparison,Race_comparison,Age_comparison,Race_detail,Women,White,Black,Asian,Hispanic,Other,Age_65_or_older,Age_75_or_older,Age_80_or_older,United_States,FDA_provided_TA
ZEJULA,Oncology,,Other oncology,,Treatment of ovarian cancer,2017,553,,,,,100,87,1,3,3,,35,,,70,Yes
NUPLAZID,Neurology,(or Psychiatry),Parkinson's,,Treatment of hallucinations and delusions in patients with Parkinsons disease ,2016,433,,,,,36,91,1,5,,3,82,,,,No. Dr. Bierer reviewed TA label
OCALIVA,Gastroenterology,,,,Treatment of primary biliary cholangitis in adults ,2016,216,,,,,91,94,1,1,,3,19,,,,No. Dr. Bierer reviewed TA label
ZINBRYTA,Neurology,,Multiple Sclerosis,,Treatment of relapsing forms of multiple sclerosis (MS) ,2016,2253,,,,,67,91,1,3,,5,0,,,,No. Dr. Bierer reviewed TA label
NUZYRA-1,Infectious Diseases,,Other Infectious Diseases,,Treatment of bacterial skin infections known as acute bacterial skin and skin structure infections (ABSSSI) caused by certain bacteria ,2018,1390,Unknown,no,Unknown,no,42,92,4,1,35,,7,,,83,Yes
NATPARA,Endocrinology and Metabolism,,Other Endocrinology and Metabolism,,For control of hypocalcemia along with calcium and vitamin D in adults with hypoparathyroidism ,2015,124,,,,,79,96,1,2,,2,6,1,1,,No. Dr. Bierer reviewed TA label
PRAXBIND,Cardiovascular Diseases,(or Hematology),Other Cardiovascular Disease,,Reversal of the anticoagulant effects of Pradaxa during emergency situations or when there is a need to reverse its blood-thinning effects. ,2015,123,,,,,47,85,1,7,,7,90,60,44,,Yes
TRESIBA-1,Endocrinology and Metabolism,,Other Endocrinology and Metabolism,,To improve glucose control in adults with type 1 diabetes mellitus ,2015,1577,,,,,44,80,1,16,,2,7,1,1,,No. Dr. Bierer reviewed TA label
VELTASSA,Endocrinology and Metabolism,,Other Endocrinology and Metabolism,,Treatment of hyperkalemia ,2015,715,,,,,39,99,1,1,,1,61,21,4,,No. Dr. Bierer reviewed TA label
CORLANOR,Cardiovascular Diseases,,Heart failure,,To reduce hospitalization from worsening heart failure. ,2015,6505,,,,,24,89,1,8,,2,38,11,3,,Yes
COSENTYX,Dermatology,,,,Treatment of moderate to severe plaque psoriasis in adults who do not respond well to medication applied directly to the skin ,2015,2044,,,,,30,68,1,22,,9,8,1,1,,No. Dr. Bierer reviewed TA label
DAKLINZA,Infectious Diseases,,Hepatitis-C,,Treatment of chronic Hepatitis C genotype-3 infection ,2015,226,,,,,41,90,4,5,,1,7,0,0,,No. Dr. Bierer reviewed TA label
SAVAYSA-2,Cardiovascular Diseases,,Other Cardiovascular Disease,,Prevention of stroke in patients with atrial fibrillation ,2015,21026,,,,,38,81,1,14,,4,74,40,17,,Yes
PIQRAY,Oncology,,Breast cancer,,Treatment of advanced breast cancer ,2019,571,n/a - women,no,yes,no - white majority,100,66,1,22,14,,44,,,9,Yes
LUMOXITI,Oncology,,Leukemia,Hairy cell,Treatment of hairy cell leukemia in adults ,2018,80,yes,no,yes,no - white majority,21,90,1,1,6,,39,,,44,Yes
ALUNBRIG,Oncology,,NSCLC,,Treatment of metastatic non-small cell lung cancer,2017,222,,,,,57,67,1,31,6,,23,,,,Yes
BRUKINSA,Oncology,,Lymphoma,MCL,Treatment of mantle cell lymphoma ,2019,118,yes,no,yes,no - asian majority,25,21,1,76,,,39,,,8,Yes
I-5EBIC,Oncology,,Other oncology,,Treatment of myelofibrosis ,2019,192,yes,yes,yes,yes,43,92,1,7,,,45,,,8,Yes
RECARBRIO,Infectious Diseases,,Urinary tract infection,,Treatment of complicated urinary infection ,2019,430,yes,no,yes,no - white majority,43,92,1,3,6,,30,,,4,No. Dr. Bierer reviewed TA label
DAURISMO,Oncology,,Leukemia,ALL,Treatment of newly diagnosed acute myeloid leukemia (ALL) in those who cannot tolerate induction chemotherapy. ,2018,125,yes,no,yes,no - white majority,28,98,1,2,,,98,,,23,Yes
MACRILEN,Endocrinology and Metabolism,,Other Endocrinology and Metabolism,,Diagnosis of adult growth hormone deficiency,2017,154,,,,,42,86,2,3,,,2,,,24,Yes
SPIAZA,Neurology,,Other Neurology,,Spinal muscular atrophy (SMA) ,2016,121,,,,,55,86,2,6,,6,0,,,,No. Dr. Bierer reviewed TA label
TALTZ,Dermatology,,,,Treatment of moderate to severe plaque psoriasis in adults ,2016,1958,,,,,32,93,2,4,,1,7,,,,No. Dr. Bierer reviewed TA label
KANUMA-2,Endocrinology and Metabolism,,Other Endocrinology and Metabolism,,Treatment of Lysosomal Acid Lipase (LAL) deficiency ,2015,66,,,,,50,83,2,5,,11,0,0,0,,No. Dr. Bierer reviewed TA label
UPTRAVI,Cardiovascular Diseases,,Hypertension,,For the treatment of adults with pulmonary artery hypertension ,2015,1156,,,,,80,75,2,21,,2,18,1,1,,Yes
VARUBI,Anesthesia and Analgesia,,,,To prevent delayed phase chemotherapyinduced nausea and vomiting ,2015,2595,,,,,60,75,2,14,,9,26,5,1,,No. Dr. Bierer reviewed TA label
MOTEGRITY,Gastroenterology,,,,Treatment of chronic idiopathic constipation (CIC) in adults ,2018,2484,yes,no,yes,no - white & asian majority,76,76,3,19,,,15,,,3,No. Dr. Bierer reviewed TA label
LORBRENA,Oncology,,NSCLC,,Treatment of specific type of lung cancer ,2018,295,yes,no,yes,no - white & asian majority,58,49,1,37,,,18,,,34,Yes
SILIQ,Dermatology,,,,Treatment of plaque psoriasis,2017,2915,,,,,31,91,3,3,,,6,,,22,No. Dr. Bierer reviewed TA label
IBRANCE,Oncology,,Breast cancer,,"Treatment of a specific form of advanced breast cancer called ER-positive, HER2- negative (ER+/HER-) breast cancer in women who have gone through menopause (post-menopausal) ",2015,165,,,,,100,90,1,6,,3,46,9,3,,Yes
LONSURF,Oncology,,Other oncology,,Treatment of advanced colorectal cancer ,2015,800,,,,,39,58,1,35,,7,44,8,1,,Yes
ADLYXIN-1,Endocrinology and Metabolism,,Type 2 diabetes,,Treatment of type-2 diabetes mellitus ,2016,4508,,,,,52,64,3,32,,2,19,,,,No. Dr. Bierer reviewed TA label
BRIVIACT,Neurology,,Seizures,,Treatment of partial-onset seizures ,2016,1558,,,,,49,74,3,12,,11,2,,,,No. Dr. Bierer reviewed TA label
BRIDION,Anesthesia and Analgesia,Maybe neurology,,,For the reversal of the effects of certain neuromuscular blocking agents ,2015,3458,,,,,52,84,3,12,,1,29,1,1,,No. Dr. Bierer reviewed TA label
KENGREAL,Cardiovascular Diseases,,Other Cardiovascular Disease,,For prevention of coronary artery blood clot formation in patients undergoing PCI ,2015,11145,,,,,28,94,3,3,,1,48,18,8,,Yes
NUCALA,Pulmonology and Rheumatology,,,,For the treatment of a specific type of severe asthma (called eosinophilic phenotype asthma) ,2015,1327,,,,,59,85,3,11,,1,9,10,3,,No. Dr. Bierer reviewed TA label
ADLYXIN-2,Endocrinology and Metabolism,,Type 2 diabetes,,Treatment of type-2 diabetes mellitus who recently suffered a heart attack,2016,6068,,,,,31,75,4,13,,8,34,,,,No. Dr. Bierer reviewed TA label
ODOMZO,Oncology,,Melanoma/skin cancer,,Treatment of locally advanced basal cell carcinoma ,2015,230,,,,,37,94,1,0,,6,54,34,23,,Yes
PORTRAZZA,Oncology,,NSCLC,,For the treatment of metastatic squamous non-small cell lung cancer ,2015,1093,,,,,17,84,1,8,,8,39,4,1,,Yes
SAVAYSA-1,Cardiovascular Diseases,(or Hematology),Other Cardiovascular Disease,,Reduction of risk of venous thromboembolism (VTE) in patients with previous VTE ,2015,8292,,,,,43,70,4,21,,5,33,13,6,,Yes
NUZYRA-2,Infectious Diseases,,Other Infectious Diseases,,Treatment of community-acquired bacterial pneumonia (CABP) ,2018,774,yes,no,yes,no - white majority,45,92,2,5,3,,42,,,1,No. Dr. Bierer reviewed TA label
PRALUENT,Cardiovascular Diseases,,Hyperlipidemia,,Treatment of certain patients with high cholesterol ,2015,3752,,,,,40,90,4,3,,3,32,6,1,,Yes
PREVYMIS,Infectious Diseases,,Other Infectious Diseases,,Prevention of cytomeglaovirus infection in allogenic hematopoietic stem cell transplant,2017,565,,,,,42,82,2,10,7,,16,,,36,Yes
XERAVA,Infectious Diseases,,Other Infectious Diseases,,Treatment of complicated intra-abdominal infections caused by bacteria ,2018,1037,yes,no,yes,no - white majority,43,98,1,1,2,,30,,,5,Yes
ENTRESTO,Cardiovascular Diseases,,Heart failure,,Treatment of heart failure ,2015,8442,,,,,22,66,5,18,,11,49,19,7,,Yes
REPATHA-1,Cardiovascular Diseases,,Hyperlipidemia,,Treatment of certain patients with high cholesterol - Patients with Clinical Atherosclerotic Cardiovascular Disease or HeFH,2015,4177,,,,,50,84,5,9,,2,28,3,1,,Yes
AEMCOLO,Infectious Diseases,,Other Infectious Diseases,,Treatment of travelers diarrhea in adults ,2018,1099,yes,no,no,no - white majority,50,83,1,14,3,,9,,,0,Yes
TAGRISSO,Oncology,,NSCLC,,Treatment of patients with advanced nonsmall cell lung cancer (NSCLC) ,2015,411,,,,,68,36,1,60,,3,45,13,4,,Yes
TRESIBA-2,Endocrinology and Metabolism,,Other Endocrinology and Metabolism,,To improve glucose control in adults with type 2 diabetes mellitus ,2015,4048,,,,,44,70,7,21,,2,24,3,1,,No. Dr. Bierer reviewed TA label
ALIQOPA,Oncology,,Lymphoma,FL,Treatment of relapsed follicular lymphoma,2017,168,,,,,54,83,0,9,6,,48,,,13,Yes
ADDYI,Gynecology,,,,"Treatment of acquired, generalized hypoactive sexual desire disorder (HSDD) in premenopausal women ",2015,3099,,,,,100,89,8,1,,2,0,0,0,,No. Dr. Bierer reviewed TA label
KYBELLA,Dermatology,,,,Treatment for double chin ,2015,1022,,,,,85,87,8,2,,3,1,0,0,,No. Dr. Bierer reviewed TA label
BAVENCIO,Oncology,,Melanoma/skin cancer,,Treatment of metastatic Merkel cell carcinoma,2017,88,,,,,26,92,0,3,6,,75,,,58,Yes
GAMIFANT,Hematology,,Other Hematology,,Treatment of patients with primary hemophagocytic lymphohistiocytosis ,2018,34,no,no,no,no - white majority,53,65,9,15,,,0,,,24,No. Dr. Bierer reviewed TA label
XIIDRA,Ophthalmology,,,,Treatment of the signs and symptoms of dry eye disease ,2016,2133,,,,,76,85,9,4,,2,37,,,,No. Dr. Bierer reviewed TA label
BRAFTOVI,Oncology,,Melanoma/skin cancer,,Treatment of melanoma (a type of skin cancer) when used with another drug binimetinib ,2018,383,yes,no,yes,no - white majority,41,91,0,3,9,,29,,,9,Yes
CHOLBAM-1,Endocrinology and Metabolism,,Other Endocrinology and Metabolism,,For treatment of bile acid synthesis disorders due to single enzyme defects ,2015,44,,,,,43,61,11,7,,20,,,,,No. Dr. Bierer reviewed TA label
SCENESSE,Hematology,,Other Hematology,,Increasing pain-free light exposure in patients with EPP ,2019,244,yes,no,no,no - white majority,47,98,0,1,,,4,,,70,No. Dr. Bierer reviewed TA label
KANUMA-1,Endocrinology and Metabolism,,Other Endocrinology and Metabolism,,Treatment of Lysosomal Acid Lipase (LAL) deficiency in infants,2015,9,,,,,44,44,11,11,,33,0,0,0,,No. Dr. Bierer reviewed TA label
CINQUAIR,Pulmonology and Rheumatology,,,,For the treatment of a specific type of severe asthma (called eosinophilic phenotype asthma) ,2016,1758,,,,,62,73,12,8,,8,6,,,,No. Dr. Bierer reviewed TA label
ZURAMPIC,Endocrinology and Metabolism,,Other Endocrinology and Metabolism,,For lowering uric acid levels in the blood of adult patients with gout ,2015,1027,,,,,4,78,12,6,,5,13,3,1,,No. Dr. Bierer reviewed TA label
MEKTOVI,Oncology,,Melanoma/skin cancer,,Treatment of melanoma (a type of skin cancer) when used with another drug encorafenib ,2018,383,yes,no,yes,no - white majority,41,91,0,3,9,,29,,,9,Yes
REXULTI-2,Psychiatry,,Major depressive disorder,,Treatment of major depressive disorder ,2015,1054,,,,,69,85,12,1,,2,1,0,0,,Yes
VIBERZI,Gastroenterology,,,,Treatment of irritable bowel syndrome with diarrhea ,2015,2425,,,,,66,86,12,1,,2,10,6,1,,No. Dr. Bierer reviewed TA label
VABOMERE,Infectious Diseases,,Urinary tract infection,,Treatment of complicated urninary tract infection,2017,545,,,,,66,93,1,2,8,,35,,,3,Yes
AVYCAZ-1,Infectious Diseases,,Other Infectious Diseases,,Treatment of complicated intra-abdominal infection (abbreviated as cIAI) ,2015,203,,,,,26,60,1,27,,12,11,8,4,,No. Dr. Bierer reviewed TA label
REXULTI-1,Psychiatry,,Schizophrenia,,Treatment of schizophrenia ,2015,852,,,,,37,63,24,7,,6,1,0,0,,Yes
VRAYLAR-2,Psychiatry,,Bipolar disorder,,Treatment of bipolar disorder ,2015,1754,,,,,41,49,25,24,,2,1,0,0,,Yes
CRESEMBA-1,Infectious Diseases,,Other Infectious Diseases,,Treatment of invasive aspergillosis ,2015,516,,,,,40,78,1,21,,1,24,5,1,,No. Dr. Bierer reviewed TA label
EUCRISA,Dermatology,,,,To treat mild to moderate eczema (atopic dermatitis) in patients two years of age and older ,2016,1522,,,,,56,61,28,5,,6,0,,,,No. Dr. Bierer reviewed TA label
VRAYLAR-1,Psychiatry,,Schizophrenia,,Treatment of schizophrenia ,2015,1065,,,,,28,43,34,17,,6,1,0,0,,Yes
ARISTADA,Psychiatry,,Schizophrenia,,Treatment of schizophrenia ,2015,623,,,,,32,47,40,13,,1,0,0,0,,Yes
ZEMDRI,Infectious Diseases,,Urinary tract infection,,Treatment of adults who have a complicated urinary tract infection ,2018,604,yes,no,yes,no - white majority,53,99,0,0,1,,46,,,1,Yes
FETROJA,Infectious Diseases,,Urinary tract infection,,Treatment of complicated urinary tract infection ,2019,448,yes,no,yes,no - white majority,55,96,,3,2,,53,,,2,No. Dr. Bierer reviewed TA label
EGATEN,Infectious Diseases,,Other Infectious Diseases,,Treatment of fascioliasis ,2019,466,yes,no,yes,not collected,58,,,,,,4,,,0,No. Dr. Bierer reviewed TA label
EXEM_FOAM,Gynecology,,,,Detection of fallopian tubes patency in women with infertility ,2019,182,n/a - women,no,not collected,not collected,100,,,,,,,,,0,No. Dr. Bierer reviewed TA label
FLUORODOPA_F_18,Medical Imaging,,,,Detection of certain nerve cells in patients with Parkinsonian syndromes ,2019,56,yes,no,yes,not collected,32,,,,,,63,,,100,No. Dr. Bierer reviewed TA label
TISSUEBLUE,Ophthalmology,Medical Imaging,,,Staining the internal limiting membrane,2019,96,no,no,no,no,63,,,,,,,,,,No. Dr. Bierer reviewed TA label
DIACOMIT,Neurology,,Other Neurology,,Treatment of seizures associated with Dravet syndrome in patients two years and older taking clobazam ,2018,64,yes,no,no,not collected,53,,,,,,0,,,0,Yes
BENZNIDAZOLE,Infectious Diseases,,Other Infectious Diseases,,Treatment of Chagas disease,2017,235,,,,,46,,,,,,0,,,0,Yes
NETSPOT,Oncology,,Other oncology,,For detection of a specific type of tumors called somatostatin receptor positive neuro-endocrine tumors (NETs) ,2016,265,,,,,52,,,,,100,,,,,No. Dr. Bierer reviewed TA label
COTELLIC,Oncology,,Melanoma/skin cancer,,Part of combination treatment melanoma ,2015,495,,,,,42,93,,,,7,27,9,3,,Yes
